cell_id,latitude,longitude,min_distance_to_known_deposit_km,structural_density,lineament_density,lithology_favorability,spectral_alteration_index,elevation_m,slope_deg,ndvi,ndwi,land_surface_temp_c,soil_moisture,bare_soil_index,ground_truth_probability,mineralized_target
CELL_0001,21.78,79.76,10.68,0.347,0.291,0.182,0.282,308.8,11.1,0.306,0.006,35.7,0.307,0.731,0.03,0
CELL_0002,21.78,79.76737,10.32,0.167,0.05,0.347,0.283,321.1,2.4,0.267,0.068,34.3,0.361,0.721,0.03,0
CELL_0003,21.78,79.77474,10.02,0.212,0.248,0.193,0.283,313.7,10.7,0.277,-0.002,37.2,0.305,0.768,0.03,0
CELL_0004,21.78,79.78211,9.77,0.226,0.196,0.515,0.329,310.1,6.8,0.225,-0.056,36.7,0.259,0.669,0.03,0
CELL_0005,21.78,79.78947,9.59,0.223,0.461,0.073,0.212,318.3,9.5,0.393,-0.041,37.0,0.353,0.643,0.03,0
CELL_0006,21.78,79.79684,9.48,0.411,0.364,0.169,0.441,315.4,13.1,0.27,-0.041,38.0,0.238,0.761,0.03,0
CELL_0007,21.78,79.80421,9.44,0.052,0.05,0.497,0.347,330.7,2.8,0.301,0.012,37.8,0.402,0.699,0.03,0
CELL_0008,21.78,79.81158,9.13,0.332,0.245,0.341,0.274,329.3,9.3,0.416,-0.129,35.6,0.254,0.614,0.03,0
CELL_0009,21.78,79.81895,8.65,0.32,0.347,0.341,0.364,288.3,5.8,0.334,0.025,38.5,0.345,0.654,0.03,0
CELL_0010,21.78,79.82632,8.23,0.158,0.128,0.273,0.453,303.8,6.1,0.377,0.009,36.9,0.312,0.615,0.03,0
CELL_0011,21.78,79.83368,7.87,0.318,0.356,0.382,0.34,305.0,3.6,0.433,0.044,37.2,0.309,0.525,0.033,0
CELL_0012,21.78,79.84105,7.58,0.273,0.292,0.158,0.369,301.7,9.0,0.438,-0.038,39.1,0.196,0.65,0.03,0
CELL_0013,21.78,79.84842,7.37,0.215,0.33,0.088,0.213,306.0,3.5,0.487,0.032,39.0,0.261,0.533,0.03,0
CELL_0014,21.78,79.85579,7.25,0.43,0.526,0.187,0.262,323.8,12.1,0.457,-0.075,35.6,0.242,0.584,0.04,0
CELL_0015,21.78,79.86316,7.22,0.282,0.282,0.322,0.359,310.8,7.4,0.447,-0.051,36.7,0.29,0.498,0.03,0
CELL_0016,21.78,79.87053,7.28,0.195,0.322,0.31,0.367,307.4,6.0,0.545,0.022,38.5,0.298,0.358,0.03,0
CELL_0017,21.78,79.87789,7.43,0.318,0.332,0.519,0.292,316.1,10.4,0.483,-0.031,38.8,0.241,0.472,0.056,0
CELL_0018,21.78,79.88526,7.66,0.389,0.433,0.181,0.201,319.4,8.7,0.495,-0.044,35.7,0.294,0.476,0.03,0
CELL_0019,21.78,79.89263,7.98,0.296,0.306,0.274,0.351,307.2,6.6,0.431,0.018,39.1,0.324,0.543,0.03,0
CELL_0020,21.78,79.9,8.36,0.421,0.485,0.308,0.32,311.8,8.1,0.316,-0.04,35.6,0.272,0.703,0.038,0
CELL_0021,21.78632,79.76,10.06,0.286,0.359,0.02,0.152,312.2,5.0,0.121,-0.088,37.8,0.315,0.95,0.03,0
CELL_0022,21.78632,79.76737,9.68,0.352,0.361,0.325,0.342,321.6,7.4,0.313,-0.059,37.9,0.222,0.629,0.03,0
CELL_0023,21.78632,79.77474,9.36,0.35,0.369,0.239,0.208,334.3,15.0,0.239,-0.043,37.2,0.268,0.841,0.03,0
CELL_0024,21.78632,79.78211,9.1,0.24,0.207,0.103,0.351,316.0,7.6,0.333,-0.019,37.3,0.346,0.709,0.03,0
CELL_0025,21.78632,79.78947,8.9,0.35,0.352,0.467,0.202,318.1,10.1,0.269,-0.048,38.1,0.294,0.785,0.03,0
CELL_0026,21.78632,79.79684,8.78,0.18,0.224,0.293,0.357,311.6,7.2,0.336,0.013,37.2,0.363,0.661,0.03,0
CELL_0027,21.78632,79.80421,8.73,0.266,0.232,0.498,0.348,318.9,10.2,0.304,0.064,39.3,0.353,0.716,0.03,0
CELL_0028,21.78632,79.81158,8.59,0.05,0.05,0.249,0.27,308.5,4.3,0.433,0.08,36.0,0.282,0.553,0.03,0
CELL_0029,21.78632,79.81895,8.08,0.27,0.358,0.278,0.189,327.5,6.5,0.409,0.027,38.8,0.325,0.513,0.03,0
CELL_0030,21.78632,79.82632,7.62,0.29,0.167,0.245,0.238,319.6,4.0,0.412,-0.025,37.4,0.234,0.564,0.03,0
