date,target_tonnage,actual_production_tonnes,shortfall_gap_tonnes,is_shortfall,rainfall_mm,soil_moisture,ambient_temp_c,ndvi,ndwi,land_surface_temp_c,excavator_ex01_avail,excavator_ex02_avail,excavator_avg_avail,active_haul_trucks,truck_avail_pct,crusher_avail_pct,blast_delay_days,haul_efficiency,shift_efficiency
2021-01-01,1783.3,1088.9,-694.4,1,0.0,0.12,20.2,0.252,-0.037,23.1,0.58,0.63,0.61,5,0.83,0.94,0,0.97,0.96
2021-01-02,1783.3,1561.9,-221.4,1,0.0,0.12,19.5,0.267,-0.057,22.4,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.95
2021-01-03,1783.3,1321.6,-461.7,1,0.0,0.12,24.4,0.23,-0.06,27.3,0.64,0.9,0.77,6,1.0,0.94,0,0.97,0.89
2021-01-04,1783.3,1606.4,-176.9,1,0.0,0.12,25.3,0.22,-0.082,28.2,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.96
2021-01-05,1783.3,1437.7,-345.6,1,0.0,0.12,22.1,0.269,-0.033,25.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.83
2021-01-06,1783.3,1619.9,-163.4,1,0.0,0.12,20.5,0.256,-0.079,23.4,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.87
2021-01-07,1783.3,1206.1,-577.2,1,0.0,0.12,28.8,0.221,-0.033,31.7,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.87
2021-01-08,1783.3,1575.1,-208.2,1,0.0,0.12,22.9,0.259,-0.052,25.8,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.93
2021-01-09,1783.3,1372.5,-410.8,1,0.0,0.12,18.8,0.229,-0.049,21.7,0.69,0.9,0.79,5,0.83,0.94,0,0.97,0.95
2021-01-10,1783.3,1620.3,-163.0,1,0.0,0.12,26.5,0.245,-0.034,29.4,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.88
2021-01-11,1783.3,1572.3,-211.0,1,0.0,0.12,32.5,0.242,-0.052,35.4,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.88
2021-01-12,1783.3,1506.6,-276.7,1,0.0,0.12,20.4,0.259,-0.043,23.3,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.9
2021-01-13,1783.3,1370.5,-412.8,1,0.0,0.12,23.6,0.266,-0.057,26.5,0.92,0.47,0.69,5,0.83,0.94,0,0.97,0.93
2021-01-14,1783.3,1469.3,-314.0,1,0.0,0.12,23.0,0.241,-0.074,25.9,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.88
2021-01-15,1783.3,1098.5,-684.8,1,0.0,0.12,28.3,0.274,-0.03,31.2,0.92,0.9,0.91,4,0.67,0.56,0,0.97,0.93
2021-01-16,1783.3,1661.1,-122.2,0,0.0,0.12,21.4,0.244,-0.058,24.3,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.89
2021-01-17,1783.3,1245.8,-537.5,1,0.0,0.12,18.9,0.217,-0.062,21.8,0.92,0.35,0.64,6,1.0,0.94,0,0.97,0.93
2021-01-18,1783.3,1327.2,-456.1,1,0.0,0.12,28.3,0.246,-0.043,31.2,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.94
2021-01-19,1783.3,1663.6,-119.7,0,0.0,0.12,24.4,0.255,-0.027,27.3,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.92
2021-01-20,1783.3,1561.4,-221.9,1,0.0,0.12,27.4,0.235,-0.058,30.3,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.88
2021-01-21,1783.3,1620.7,-162.6,1,0.0,0.12,23.9,0.233,-0.045,26.8,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.91
2021-01-22,1783.3,1520.6,-262.7,1,0.0,0.12,25.7,0.27,-0.058,28.6,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.84
2021-01-23,1783.3,1701.6,-81.7,0,0.0,0.12,24.1,0.249,0.005,27.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.95
2021-01-24,1783.3,1241.8,-541.5,1,0.0,0.12,20.8,0.225,-0.032,23.7,0.41,0.9,0.66,5,0.83,0.94,0,0.97,0.95
2021-01-25,1783.3,1667.8,-115.5,0,0.0,0.12,21.5,0.301,-0.068,24.4,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.87
2021-01-26,1783.3,1490.2,-293.1,1,2.1,0.131,24.7,0.257,-0.066,27.6,0.92,0.9,0.91,5,0.83,0.94,0,0.96,0.88
2021-01-27,1783.3,1691.3,-92.0,0,0.0,0.12,26.1,0.24,-0.063,29.0,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.91
2021-01-28,1783.3,1672.7,-110.6,0,0.0,0.12,27.7,0.245,-0.048,30.6,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.92
2021-01-29,1783.3,1185.7,-597.6,1,0.0,0.12,32.2,0.237,-0.058,35.1,0.92,0.62,0.77,6,1.0,0.55,0,0.97,0.94
2021-01-30,1783.3,1233.4,-549.9,1,0.0,0.12,29.9,0.279,-0.079,32.8,0.44,0.9,0.67,5,0.83,0.94,0,0.97,0.89
2021-01-31,1783.3,1691.5,-91.8,0,0.0,0.12,20.0,0.257,-0.083,22.9,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.9
2021-02-01,1783.3,1207.9,-575.4,1,0.0,0.12,23.4,0.222,-0.062,26.3,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.87
2021-02-02,1783.3,800.6,-982.7,1,0.0,0.12,28.0,0.273,-0.065,30.9,0.92,0.9,0.91,4,0.67,0.67,1,0.97,0.87
2021-02-03,1783.3,1653.6,-129.7,0,0.0,0.12,25.3,0.283,-0.026,28.2,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.91
2021-02-04,1783.3,1307.6,-475.7,1,0.0,0.12,26.6,0.202,-0.064,29.5,0.92,0.9,0.91,6,1.0,0.62,0,0.97,1.0
2021-02-05,1783.3,1842.0,58.7,0,0.0,0.12,30.0,0.282,-0.063,32.9,0.92,0.9,0.91,6,1.0,0.94,0,0.97,1.0
2021-02-06,1783.3,1614.4,-168.9,1,0.0,0.12,17.1,0.28,-0.042,20.0,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.88
